
2017-06-20,1,1,1,False,Not Recommended,"It was on sale. I wanted to see what the fuss was all about. Played it for an hour. Regret buying it.As a survivor there's no real reward in completing generators. Sure you just move on to the next one (where there's 5 in total) and so on. Whenever the killer gets you there is a ""Press to wiggle"" function. This gives you a chance to break free from the killer and escape. He then drags your over to a hook. where he will impel you untill a survior comes to your aid. It would've been a great feature if the hooks weren't 2 inches from each other. And if you are new to the game and are a low level character there's not much fun in it for you. You have to grind and grind your character to a certain level before you can start to have a slight of a chance. And those perks includes things like tool boxes which makes you repair generators faster a simple flashlight so you can see! and so on. This game introduces itself in the worst way. Looks like fun when you watch someone else play it. And it doesn't explain you that you need to put hours into it before you can perhaps enjoy it. Steam library uninstall forever Take my money",Dead by Daylight
2018-07-18,0,0,1288,False,Recommended,sick,Dead by Daylight
2016-09-27,0,0,14,False,Not Recommended,Playing with your friends is not usually possible due to bugs but is quite fun when it does work,Dead by Daylight
2016-07-01,1,1,724,False,Recommended,Bing Bong from Inside Out gets his revenge as the Wraith,Dead by Daylight
2017-07-04,0,0,147,False,Recommended,As a survivor you have a choice 1. let your friend(s) die working alone and die2. save your friend(s) killer chasing you and die together.10/10 would die over and over,Dead by Daylight
2017-11-26,1,1,1318,False,Recommended,Altough the community is very Toxic with facecamping killers to teabagging survivors I keep coming back to Dead by Daylight to spend my time. With each progress you feel some accomplishment and never feel like your time being wasted. There is a good balance between killers and survivors (sometimes they fk up the balance with a new killer) but that's solved with a quick update most of the time!,Dead by Daylight
2016-11-23,0,0,496,False,Recommended,Nov 2017 This game is reaching the potential that it first had the developers are far more thoughtful when it comes to problems they dont rush to bring out unbalanced DLC to make more money. This game is a lot of fun.You need a thick skin to play killer you will always have salty survivors you killed being toxic. BUT if you play this game with the intention of it being for fun and dont care about dying or about making sure someone dies on a hook (camping) then this game is a whole lot of fun. Try it you might just love it.Nov 2016 This game all depends on your outlook. If you are easily triggered by other players features in a game that make it unfair or developers that dont fix issues that are underlying in the game (camping Infinites etc) then this game wont be for you.Its got issues which are slowly being worked out. There should be a patch on the day I am writing this review to lessen the grind for perks and prestige. HOWEVER if you play this game for fun (and not too focused on getting points or the full win) then this game is fantastic. If you play the game how the devs envisioned it to be played (its not too hard to work out what the wanted dont be a and ruin the game for other people i.e camping) then this game is very good fun especially with teammates. You must have a thick skin though and be prepared to ignore the salt that happens at the end of every game from the people that will whine at you. Killer get this much worse so many surviors will rage at you regardless of what you did in the game.,Dead by Daylight
2016-08-16,0,0,623,False,Recommended,Originally posted this as negative.After playing this again it is actually a good game. This is currently better than F13 by a long shot and the developers are actually active.,Dead by Daylight
2016-08-19,0,0,88,False,Recommended,There's still alot of glitches in the game but in terms of gameplay its actually pretty good.,Dead by Daylight
2016-10-29,0,0,913,False,Recommended,I can easaly recommend this game to anyone sure its going to be hell when you start but after like 200 hours you are going to get the hang of it finnaly get that 4k game or do your first 360 juke. It will be a trip..... a trip you will never forget.( btw watch streamers or good youtubers play it it helps to become better ALOT)Honestly everyone says that this game is bad this game is toxic this game has a very bad community this game has bad devs its unbalanced its buggy But actully is it realy.....that bad? Most people who say thease things have alot of hours on the game alot of hours on the game means you enjoyed it i did and i still do. Sure maybe the developers make a mistake (every update) but it doesnt make the game unplayable.... I want this game to succeed and i want new map makers (please).,Dead by Daylight
